# Cyanide Concentration,R,G,B,R_std,G_std,B_std,H,S,V,H_std,S_std,V_std,L,a,b,L_std,a_std,b_std,Gray,Gray_std
30ppm,115.15934917355372,82.58445247933884,168.9090909090909,68.33698760093111,60.55054404633916,97.35009799984032,112.75,173.72998450413223,188.23256714876032,40.677167712864374,54.78412084157286,86.67467326658016,114.11157024793388,160.55940082644628,90.37706611570248,57.91244861834404,43.68467773315096,43.29400046314809,102.1875,50.35940526973984
40ppm,115.46035640495867,81.04325929752066,171.29054752066116,68.37363532018587,60.74503485743938,99.15217446921146,112.32618801652893,176.2032541322314,190.5910382231405,40.972242999611275,54.66673079993692,88.14589666232662,114.04106404958678,161.77001549586777,89.01136363636364,57.82184779422803,44.43689432407694,44.11423498493185,101.64049586776859,50.12376358774744
50ppm,114.39469135802469,78.11,161.18172839506173,69.37354885300519,60.9658080554326,95.39437342402992,115.4258024691358,181.33469135802468,180.17024691358026,38.80214199140912,50.581919440521986,86.12537676063458,110.28691358024692,160.56,92.59123456790124,58.49965623286091,43.370069670336896,41.95508412172507,98.4504938271605,50.85211571405501
60ppm,115.4346913580247,79.56851851851852,163.5911111111111,69.39704200097427,60.60513869365219,95.19161297218844,115.36962962962963,179.79975308641974,182.26654320987655,38.55509978739404,50.77028780099462,85.7167367246168,111.640987654321,160.6279012345679,92.03283950617283,58.22566146765124,43.20009215571016,41.823611478713666,99.88888888888889,50.77803306524691
70ppm,114.71962962962964,76.2388888888889,171.95012345679012,68.72473298107178,60.13679544726895,99.54352472561726,114.82580246913581,185.7179012345679,190.2079012345679,38.36503231593787,48.911194916785426,89.18927155097028,111.28246913580247,163.9620987654321,87.12074074074074,57.79694095734501,44.54706675067407,44.21084431456674,98.67938271604939,50.17207717460004
80ppm,106.257797731569,77.9429347826087,164.8119092627599,66.37026969298654,60.86253980953786,98.73069704351711,113.16020793950851,183.0118147448015,183.54974007561438,37.69243748834896,50.62289555303628,88.98684686704472,108.13965028355388,159.8312854442344,89.24102079395085,58.90078780488839,42.79041368417192,43.764333754518454,96.33447542533081,51.25575731882181
90ppm,116.96939566115702,80.84529958677686,170.90818698347107,69.416202814385,60.617456790780565,98.53809629060532,112.93168904958678,176.38481404958677,190.18879132231405,40.981959822928225,54.64548504602952,87.60056056408774,114.36118285123968,162.119576446281,89.41373966942149,57.76810784090317,44.66259712151527,43.88074086270081,101.93272210743801,50.08079209751902
100ppm,125.16012396694215,80.64721074380165,180.00116219008265,74.03500875580576,60.95385077284479,102.39810685199436,113.66064049586777,178.78602789256198,198.8778409090909,41.438905298246446,54.99920694420018,90.40363776853566,118.4089617768595,165.8619576446281,86.87370867768595,58.58421066210103,46.29781065868517,44.89963337669265,105.30901342975207,51.343823525450745
0ppm,142.33329862557267,193.22646813827572,183.13765097875884,90.4961934437647,95.93387110471087,106.39799393714635,84.55112453144523,104.19689712619741,202.12359433569347,25.97201962898532,88.37373820240123,94.87188268760181,187.24708454810497,112.72698875468555,127.42357351103706,92.92717849340663,21.637148561856225,24.95563097964802,176.8771345272803,91.4884353367617
10ppm,142.96365017361111,196.50716145833334,184.84027777777777,88.98846388079599,94.5565981438258,105.96498070769027,85.93988715277777,106.44618055555556,205.36555989583334,24.467795890744927,87.62102945708969,93.3430202310724,190.08463541666666,111.80924479166667,127.89583333333333,91.27327280297168,22.385391587991396,25.883612026295282,179.18901909722223,89.86959515259873
20ppm,94.68218336483932,162.36365784499054,186.72625236294897,55.23405803034446,73.53836673778783,104.12348547584084,92.8890595463138,151.203213610586,206.07041587901702,27.677795304110933,58.277660697428296,91.3501101881987,160.5795132325142,116.92580340264651,109.12948960302458,72.08495900461409,22.963626526708186,32.780932951121486,144.91446124763706,65.98152888362982
30ppm,104.03163739669421,166.32980371900825,185.94602272727272,58.75590708921771,73.66489318373706,103.94509278328995,91.37512913223141,136.01859504132233,207.15534607438016,30.150032143566914,62.01184916838305,90.13083359253245,164.69460227272728,116.91864669421487,111.80023243801652,72.25059403654157,24.08148064700413,32.78023248048888,149.9502840909091,66.63974886308468
40ppm,102.32679584120983,162.31864366729678,186.86294896030245,58.22341844907372,72.7481945693101,103.95266948474654,93.40418241965973,142.95061436672967,206.35645085066162,28.578520601760488,60.40118059914062,90.99563466374211,161.55848298676747,118.66056238185256,109.63634215500946,71.80907250159885,23.478924597409364,32.543788047727425,147.18088374291116,66.25821815399962
50ppm,108.86696597353497,158.6703686200378,185.95734877126654,61.77825058414189,71.55832810001246,103.80864753381991,95.83246691871456,136.593927221172,205.70817580340264,28.95540464553248,63.00425440958228,90.70710930218067,159.91481568998108,122.00661625708885,109.14284026465029,71.15996249673631,24.995736000944696,33.11775174135022,146.90099243856332,66.14957616066968
60ppm,105.49717066545948,158.15617926663649,184.68186962426438,61.55419806458184,72.63381717896202,104.21413685943659,95.78881846989589,141.32650520597556,204.0355364418289,27.92319126009188,62.43052184628269,91.46467927911407,158.77535083748302,121.08103214124039,109.25022634676324,72.12518751758539,24.111776595598876,32.737646220066765,145.44443186962425,67.10083905988445
70ppm,103.75737847222223,155.07823350694446,181.74055989583334,61.19362085832634,72.29705085740437,105.2987125612067,96.01888020833333,142.72287326388889,201.64789496527777,28.323188124779,62.51496888308182,92.18328404858455,156.12337239583334,121.60774739583333,109.23654513888889,71.85332457403919,24.514639649918532,33.41997257974042,142.78157552083334,66.73148485631685
80ppm,101.01996691871456,161.78071833648394,186.9071361058601,57.7252549559918,72.59556231557818,103.89224881127875,94.21053875236295,144.95675803402648,206.45687618147448,27.989788552717116,59.838568841999006,90.90880176657788,161.05978260869566,118.68312854442344,109.30730151228734,71.5604442564701,23.758383633124385,32.78421910465895,146.4858223062382,65.87147032210262
90ppm,101.13173440453686,161.4891304347826,186.12606332703214,58.23457400191623,73.12570181266955,103.9709273986889,93.5851843100189,144.13244328922497,205.68773629489604,28.635453535955847,60.52675646356818,91.04135498997479,160.75189035916824,118.66800567107751,109.55659262759924,71.98913697470105,23.6905935364568,32.76722135586328,146.25720699432893,66.44832111188764
100ppm,187.72388941398864,209.85148865784498,188.2327504725898,106.03825265746977,92.39321118316344,105.665761942444,40.58754725897921,59.65831758034027,210.25945179584122,48.49678083498391,100.93731903566234,92.09256449485063,206.7196361058601,119.06049149338374,135.95770321361059,92.4647557750958,22.730927495084522,21.107281939379106,200.77776465028356,93.84800169139585
0ppm,129.88279773156899,87.47306238185256,180.93336483931947,75.25366502149265,56.82928230494192,103.03029658955622,115.89189508506617,175.03757088846882,198.76382325141776,38.24660690808312,48.1413179101867,91.50169464654702,121.88705103969754,164.12759924385634,88.8663752362949,58.59257658451401,44.268797061713684,42.887431057609426,110.83081285444234,51.78201516015248
10ppm,128.01453213610586,86.45096880907373,182.3233695652174,73.98543706374026,56.62491174358492,103.76839915741829,115.62051039697542,176.1297258979206,200.15146502835537,38.256906105536686,47.98590584587576,92.01048744228007,121.03189981096408,164.6148393194707,87.51724952741021,58.29465822105019,44.39361763148904,43.655691604281486,109.83341209829868,51.297817739195395
20ppm,84.73135802469136,49.50333333333333,140.0514814814815,49.161680142689036,61.021486713621954,80.25443146275569,114.48135802469136,208.10456790123456,158.7627160493827,38.53187262555912,44.17629165702319,74.66572249754144,85.34024691358024,162.47641975308642,88.76123456790124,51.38467643936799,43.99950686616593,43.89229554662624,70.37987654320987,39.49925162578532
30ppm,86.6123580313683,50.444159004867494,140.07585181179016,50.02597977089894,62.37037172423784,80.95780274769483,113.29272579772851,204.3082747431044,159.6786100594916,40.50736775828855,50.77441271105701,75.08214993994265,86.88804759329368,162.28988642509464,89.59667387777176,51.9670160286557,44.86155086197492,44.41507333792158,71.49851270957274,39.837770980644756
