# Cyanide Concentration,R,G,B,R_std,G_std,B_std,H,S,V,H_std,S_std,V_std,L,a,b,L_std,a_std,b_std,Gray,Gray_std,RGB-KMEANS
20,108.48127582644628,84.06998966942149,173.099173553719,64.61355970500644,59.46435758099598,99.35796467291932,111.07864152892562,173.08793904958677,191.18892045454547,39.220025118069394,54.278127007806965,88.91795785732148,113.07425103305785,159.4005681818182,87.57192665289256,57.85576508812972,42.18029275366172,43.85615211829145,101.53589876033058,50.518801247266595,108
30,112.05555555555556,80.1225925925926,163.55185185185186,68.2617140492258,59.981434643733216,97.04301656725166,114.11962962962963,178.87851851851852,181.60592592592593,38.70637341669589,50.91377904428864,88.01336045853715,110.34246913580247,159.59037037037038,91.49802469135803,58.904851076317314,42.165354757645936,41.83681845951249,99.19506172839506,51.60425119159827,112
40,118.29054752066116,78.61027892561984,170.14114152892563,69.56457167067884,59.7303987500465,97.97977207087466,113.23618285123968,176.82115185950414,188.35705061983472,41.40044101473437,55.01683074480159,87.81896685478401,113.14630681818181,163.08445247933884,89.34465392561984,57.56238220702833,44.22689136070527,43.0584558439256,100.92897727272727,50.16222770176396,118
50,111.10609640831758,75.44695179584122,162.8992202268431,67.9222707829755,60.26244408405989,96.70534280185396,114.30127599243856,183.33081285444234,180.65808128544424,38.88236242839001,50.97025259709684,87.7431811713322,107.82478733459357,161.29714083175804,90.35255198487712,58.45525363599524,42.671105151935535,42.23765910872118,96.09333648393195,51.157384692022816,111
60,113.49819214876032,79.5392561983471,167.76743285123968,68.5942676209221,60.60435350283299,98.33177609711868,112.28525309917356,176.4972882231405,186.39914772727272,40.87132865064961,56.07875672174075,88.36823024146838,111.8305785123967,161.10136880165288,89.85007747933884,58.352791357136084,43.74837574536667,43.30438785783643,99.77440599173553,50.86237061659759,113
70,117.09323347107438,76.81701962809917,173.0183367768595,69.72584363297291,59.68320261325824,99.61278168655296,112.82321797520662,179.96939566115702,191.10136880165288,41.443194258990665,54.34495791488975,89.18160491464131,112.49806301652893,164.2915805785124,87.32257231404958,57.58360564266602,44.863483252268374,44.065371901542115,99.84981921487604,50.07944919713878,117
80,109.19814814814815,78.24864197530864,166.73382716049383,66.64937643584292,59.77232651214345,98.03397000772895,113.94296296296297,182.97654320987655,184.61222222222221,37.65080565578236,48.93551002224277,88.6371163442672,109.2583950617284,160.64580246913582,88.97444444444444,58.239259783587755,42.71736398801357,43.09659221439471,97.60765432098765,50.734157200484454,109
90,114.26567901234569,78.83839506172839,165.09135802469135,69.21238226724206,59.582750278562216,96.38149404554831,114.74604938271605,180.1688888888889,182.89777777777778,38.819504171816895,50.27003495935541,87.22092522744106,110.65530864197531,161.09160493827162,90.77728395061729,58.39893202740763,42.62677537540993,41.877953509620546,99.2804938271605,51.245476425506304,114
100,114.13976912630149,73.58804889090086,172.8443866002716,72.45944713165312,61.18583380372826,103.93888639037583,115.05771842462653,191.9429606156632,190.36215482118607,37.55259863856584,47.137890023721305,93.9951485319977,109.74332277048438,164.92768220914442,86.06824354911724,60.43541072981863,44.80944361252605,44.714948804346854,97.04956994114984,53.2641506779035,114
0,146.70903123585333,202.0272747849706,186.74377546401087,86.04401904865702,91.83677385203661,105.38613918675543,84.62833861475781,101.48947487550927,206.3974649162517,23.709898512258945,83.82199986858822,93.01712660781192,194.51290176550475,109.77127659574468,129.7209144409235,89.45163757613338,20.07728038459061,22.482984298294777,183.76301493888639,87.8544387986352,146
