# Cyanide Concentration,coordinate,R,G,B,R_std,G_std,B_std,H,S,V,H_std,S_std,V_std,L,a,b,L_std,a_std,b_std,Gray,Gray_std,RGB-KMEANS
50p,2,122.1774,104.0673,142.567,16.253877360187015,16.196251748784345,17.90046119517595,133.8245,74.4097,144.346,8.40914381789252,17.44685203439291,15.854352210039993,120.2052,143.472,109.5889,14.816169982826198,9.006653984693761,8.67409342755772,113.9272,12.576553588324586,124.52476780185756,104.13777089783281,145.22889576883384,55.25431034482769,57.452586206896555,68.02586206896554,29.6153846153846,233.96153846153845,33.58974358974359
50p,2,123.7887,102.2369,143.2607,16.049531217764585,14.301614537876484,17.047813217829436,135.462,75.3227,143.7697,5.456734921177682,12.177321737968493,16.302056984012786,119.2254,144.9778,108.6997,15.423261485172324,5.14908799303333,4.816172745033135,113.4237,14.103892310635388,129.9392233290024,107.29926375054134,149.42846831240078,34.331683168316786,38.702970297029744,46.22772277227733,115.24312086381049,94.49285963079066,135.20654824103102
50p,2,120.0868,104.5579,138.1936,24.650291393003858,24.27592732708681,27.835842344718078,131.6684,78.8632,142.8938,18.01672671269673,33.52139146515252,24.826786371981374,120.0313,141.8555,111.8649,22.33141554648966,14.556573077135978,13.836930584128838,113.1713,18.839388427175656,125.19296768080848,103.81713864617329,144.0803242446573,2.247933884297609,18.987603305785242,3.3512396694214885,42.91891891891888,211.6795366795368,48.28571428571428
50p,2,119.9769,104.0327,138.8936,22.183835700572615,21.451364308826605,24.934928895828037,132.1278,76.7781,142.3923,15.389920960160907,29.49311547446285,22.194134376226526,119.5443,142.0959,111.2973,20.056670648689426,12.587482003562112,11.950820587306966,112.898,17.29074307252294,123.97999166319293,103.60848270112548,143.5178199249688,46.260869565217334,215.26086956521732,51.41847826086965,7.022727272727323,29.509090909090943,10.354545454545502
50p,2,121.5631,104.7224,140.15,20.53440085295892,20.6849157174981,22.99794990863316,133.0967,77.1175,143.9802,14.047090414388313,27.586106897313364,19.840267335900492,120.6268,142.6209,111.0836,18.085782309869817,13.167899725848462,12.528033007619353,113.8922,14.652958034472086,124.89456802897054,103.45545783755819,143.98913605794098,7.964788732394311,33.816901408450704,10.38732394366204,38.310880829015574,220.33678756476684,43.36787564766837
50p,2,120.9673,100.9573,139.8671,19.022960618946776,16.750178408303597,20.743978345293364,134.9383,73.4237,140.3769,5.826035797178044,12.676086868982873,20.19047414970733,117.2318,144.0279,109.6473,18.608650374489816,5.233786544176215,5.008223508390974,111.509,17.070885126436767,110.66878474980143,91.48014297061158,130.1703733121525,128.20194579569147,107.03085476025015,147.324530924253,29.951219512195024,31.843205574912886,37.986062717770096
50p,2,120.6819,105.409,139.633,20.31175798373937,20.77765913186565,22.914670213642616,132.3834,75.3408,143.4933,14.126061179253048,27.961617538332792,19.789314164720313,120.8269,141.8095,111.5272,18.11903795431755,13.058269783933858,12.503457928109329,113.9956,14.690363529879034,123.98075928416259,104.15113271956139,143.4562946105307,7.650349650349739,35.202797202797214,10.16083916083926,37.910526315789454,222.24736842105264,42.552631578947455
50p,2,120.539,104.3423,139.2156,21.69638400747922,21.03128932590677,24.56994742851519,132.3345,76.5933,142.7129,15.075384232250931,29.34840873216127,21.764739226326604,119.9321,142.1691,111.3432,19.571011460576074,12.585456097813857,11.93153861662443,113.2953,16.751116318323387,124.44259394191732,103.86707609035078,143.73363172686584,3.9020618556700413,22.14432989690721,5.6030927835053035,45.79396984924618,207.4170854271357,51.35678391959799
50p,2,119.9361,104.3639,137.7031,24.55354183799152,24.262651891126826,27.734082829435696,131.8415,78.6371,142.3804,17.81619986837822,33.77871820525462,24.830201284725824,119.8337,141.7853,112.0496,22.327531084067488,14.507391354409656,13.77144654130422,112.9709,18.818646422896627,125.0379027163614,103.62981680353757,143.5710675931775,1.9499999999999602,18.087499999999977,3.1083333333332632,43.064885496183265,210.00763358778624,48.27099236641219
50p,2,119.7885,103.9019,138.3158,22.023781867563073,21.449696417199007,24.82577431541663,132.2182,76.3738,141.8152,15.403473269363634,29.89177267342972,22.153515498899942,119.349,141.9519,111.5368,20.01932064281903,12.56616036782915,11.917937982721677,112.7029,17.234303919508903,123.80410758965799,103.47852376980818,142.94422435362804,46.9402173913043,215.40760869565224,51.934782608695656,7.67410714285711,30.437500000000085,11.075892857142776
50p,3,158.7518,149.9474,181.8902,40.00365979207402,45.64831029994429,35.909223661338046,127.2396,51.5483,182.7723,6.654832217268892,26.954592690485974,34.717028281666046,161.9347,138.1699,112.3365,41.456922653641335,7.8276454946554646,8.006264281798346,156.1489,42.18646380997109,207.9770512417481,205.75416535680614,225.04558314995285,120.84463894967197,106.38446389496727,148.19168490153174,166.15518008003556,159.53445975989325,189.32681191640728
50p,3,115.0352,98.7473,141.2683,12.51534102451867,11.821465336835361,13.229048155857624,131.4646,77.3176,141.2719,1.8229500377135957,7.040066067871806,13.223750239247563,114.3925,143.605,106.9521,12.840515711995371,1.514719445970111,1.4706480170319478,108.3913,12.101478600154612,122.19391251763759,105.92803870187463,148.58113283612175,110.05679721140045,93.41993028501128,136.33012097600985,45.68518518518522,39.2283950617284,65.98765432098767
