# Cyanide Concentration,R,G,B,R_std,G_std,B_std,H,S,V,H_std,S_std,V_std,L,a,b,L_std,a_std,b_std,Gray,Gray_std
10,128.04099716446126,85.54784971644612,182.3555056710775,73.94695415676277,55.8895145199704,103.71797526755249,115.78272684310019,176.04182419659736,199.2547258979206,38.195422400796815,47.98633380279209,92.66087961961827,120.23617674858222,164.921786389414,87.21786389413988,58.37076235785508,43.829888204539415,43.08008470157085,109.31391776937618,51.62931225380037
10,118.08948863636364,92.06224173553719,177.7294679752066,68.04568700275223,57.60111034655877,101.4207252577289,111.01769111570248,164.42097107438016,196.00645661157026,40.2638774398,54.02171093516753,90.10980852609603,120.31056301652893,158.62939049586777,89.53008780991736,58.06947616412947,41.93691818998069,43.081616682331735,109.62654958677686,51.169822363765114
10,103.4920634920635,84.55881519274377,185.88336167800455,59.264219132948554,59.11234163068954,103.50760828363946,109.453089569161,177.49404761904762,204.16425736961452,37.705642634575376,52.39716706556375,91.23411133198447,114.91524943310658,161.48653628117913,81.30583900226758,55.97349312833415,44.32577988077517,47.818739032316046,101.78344671201815,47.50839988172608
10,139.4701189832342,106.75027041644132,186.2624391563007,80.47029859327994,59.80843964135481,103.80556147157057,113.6322336398053,153.70402920497565,203.81855056787452,41.12811519941943,57.086817168413894,91.97431015423838,134.83950784207678,158.07328285559763,94.02812330989724,62.8311352302966,41.32403427351642,40.00232238788082,125.61560302866414,58.14314658480723
10,106.31923440453686,95.90713610586012,185.37984404536863,62.82788043611205,58.51680583672593,103.41661127174977,109.57951323251417,168.999881852552,202.03757088846882,36.07359051777828,51.63953809893256,92.40241496650373,120.33719281663517,156.04170604914933,85.40430056710775,58.712939937694166,39.746405298346616,44.05813643405705,109.23499527410208,52.21014773727958
10,116.3630340724716,135.1873985938345,185.24851270957274,67.99728808012426,66.82897768728434,104.40848298281267,102.20118983234181,132.28055705786912,204.51663061114115,35.46833883477509,65.2895564564109,91.98592327292516,145.6753650621958,136.9175229853975,100.98445105462412,67.5519586008065,31.837977314664016,37.94668560049269,135.27095727420226,62.96138192626252
20,91.42444444444445,67.77481481481482,162.34333333333333,54.744270527202715,58.48112628137856,93.41941941957977,112.43555555555555,192.0262962962963,179.83567901234568,36.311195022342865,45.79698005959427,84.92104996411713,98.55160493827161,161.37716049382715,84.52679012345679,54.24023315294562,42.74031949407635,45.246658953858855,85.64148148148148,44.895613993238854
20,110.18155991735537,84.75309917355372,170.93569214876032,65.23242845354466,60.143533042559156,98.79855745611552,111.09736570247934,171.15211776859505,189.37564566115702,39.98807703608599,55.56507800086605,88.42174208878119,113.67678202479338,158.79338842975207,89.1536673553719,58.16368234901142,42.17143812926522,43.43777184326481,102.19692665289256,50.99362994832397
20,94.70699432892249,161.46242911153118,186.75744328922497,55.20223960418226,73.90296131081443,104.07416278790751,92.92982041587902,151.00886105860113,205.1727315689981,27.7711463250928,58.29592992702243,92.06485900708319,159.78485349716445,117.23026937618147,108.83152173913044,72.57960659350368,22.51139756740646,32.21246909459336,144.39508506616258,66.51449842976548
20,84.75925925925925,48.5641975308642,140.08567901234568,49.12686343094188,59.71792089656082,80.20562812274231,114.46061728395061,207.9162962962963,157.82592592592593,38.64289568954793,44.450206916555004,74.98043576560123,84.51222222222222,162.79024691358023,88.4520987654321,50.884645371348526,43.42487002831523,43.30408188543966,69.8395061728395,39.405967709398524
20,76.1191184424013,51.903596538669554,136.02312060573283,43.85669491159187,60.51288393170745,77.8114383362896,111.46416982152515,201.25216333153057,154.5047322877231,39.28771832754987,49.4508741638485,73.35517701506899,82.48134126554895,159.1873985938345,89.36952406706328,51.06386898983215,42.306835654507154,43.57229976740554,68.7472958355868,39.42081131217496
20,57.99135487528345,47.656179138321995,166.85997732426304,34.20658956886846,64.1986666945324,94.47574919011491,107.44146825396825,214.81037414965985,185.47704081632654,36.5612930569807,51.338664634769444,84.76767325927959,85.11181972789116,166.43395691609976,72.8391439909297,51.80448315355057,47.1303362760626,53.17452230742894,64.34452947845806,39.66886292874789
