# Cyanide Concentration,coordinate,R,G,B,R_std,G_std,B_std,H,S,V,H_std,S_std,V_std,L,a,b,L_std,a_std,b_std,Gray,Gray_std
20,6,157.3398765,144.9351852,178.1666667,5.744168485,5.498158752,5.155136477,131.2077778,47.60074074,178.1666667,1.604827209,2.880474831,5.155136477,158.7048148,139.2237037,112.4975309,5.23397274,1.000040054,0.865308809,152.4264198,5.447721759
20,7,159.6380247,148.9334568,183.7888889,11.90194863,13.33681035,10.44242888,129.1867901,48.68320988,183.7888889,1.47164083,6.162482229,10.44242888,162.3298765,139.0609877,111.4016049,12.08885095,1.48173539,1.667280596,156.181358,12.53751204
20,8,165.8422222,158.1366667,186.4409877,7.711354143,8.305432626,7.537337449,127.8740741,38.8237037,186.4409877,2.220987311,3.191041644,7.537337449,169.9937037,136.4711111,114.3191358,7.704837977,1.097372845,0.742205086,163.7251852,7.965514113
20,9,159.2398765,152.7482716,184.3185185,5.814253664,6.104215562,5.624727398,126.1750617,43.70469136,184.3185185,1.175246886,2.846388696,5.624727398,164.9008642,136.7838272,112.5097531,5.726043966,0.775272263,0.777001955,158.4309877,5.945580599
30,2,167.1197531,156.0023457,183.0367901,7.171702275,7.983462501,6.648633356,132.3392593,37.76938272,183.0367901,1.604304224,3.869047908,6.648633356,168.6177778,137.2937037,115.3609877,7.369177048,1.200322945,0.965227031,162.4407407,7.590381792
30,3,164.3498765,155.3730864,178.5608642,6.298113081,6.345004187,5.482215849,131.6771605,33.17345679,178.5608642,1.98546492,3.163005549,5.482215849,167.1903704,135.6908642,117.0501235,5.930757336,0.892072352,0.886917945,160.8138272,6.165748193
30,4,180.2693827,170.4185185,193.2071605,6.411488598,7.012750488,5.912890132,133.0111111,30.14296296,193.2071605,1.456996742,3.077205099,5.912890132,181.7832099,135.7866667,117.5354321,6.409245989,0.851096606,0.965505752,176.0222222,6.655805968
30,5,169.667284,156.587037,183.6767901,5.909652392,6.426849918,5.673958669,134.5892593,37.66679012,183.6767901,1.659632027,3.132932727,5.673958669,169.5975309,138.0083951,115.5458025,5.989372797,0.854431378,0.797527606,163.5912346,6.101685435
30,6,163.6582716,155.7234568,184.1016049,5.862183639,6.383974373,5.93118333,128.0891358,39.37493827,184.1016049,2.027028597,2.439548442,5.93118333,167.7575309,136.5879012,114.2108642,5.8661173,0.930578893,0.488363853,161.4055556,6.101171209
30,7,153.1458025,138.8945679,172.5980247,9.679651606,9.798412324,8.592224222,132.8160494,50.01925926,172.5980247,1.572209014,5.192408936,8.592224222,153.2971605,140.0465432,112.3141975,9.444063618,0.936861928,1.274506309,146.9212346,9.556057788
30,8,167.9808642,157.3574074,186.9009877,6.93349389,7.03093961,6.800695245,130.7324691,40.36679012,186.9009877,0.894238114,2.226697342,6.800695245,170.0381481,137.7509877,114.1485185,6.73198751,0.537109559,0.478208104,164.1190123,6.927537393
30,9,165.8476543,156.6258025,186.2237037,7.301462778,7.75947694,7.089974219,129.121358,40.62950617,186.2237037,1.79401285,2.919647113,7.089974219,169.0051852,137.274321,113.8385185,7.258624349,0.854794666,0.522669102,162.8293827,7.506986104
40,2,164.0939506,155.6534568,182.4765432,6.228840762,7.014378999,5.828607008,129.342963,37.56419753,182.4765432,1.799150996,4.059003364,5.828607008,167.6569136,136.395679,115.2093827,6.414370083,1.331890366,1.212531629,161.3249383,6.503719377
